Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
You have been tasked with looking at PURELY physical security controls for a new implementation. Which of these would you consider using?,multiple-choice,Regulations.,Dogs.,Biometric authentication.,Access lists.,,,2,Dogs are a physical security control. Access lists and biometrics are technical and regulations are administrative.,CBK 1: Security and Risk Management
"The CIA triad is of the foundational pieces of IT Security. We want to find the right mix of confidentiality, integrity and availability and we want to ensure none of the legs are compromised. Which of these is NOT one of the CIA triad opposite?",multiple-choice,Disclosure.,Destruction.,Alteration.,Aggregation.,,,4,"The CIA (Confidentiality, Integrity, Availability) Triad: Confidentiality - We keep our data and secrets secret. Integrity - We ensure the data has not been altered. Availability - We ensure authorized people can access the data they need, when they need to.",CBK 1: Security and Risk Management
"We need to ensure we are compliant with all the laws and regulations of all the states, territories, and countries we operate in. How are the security breach notification laws in the US handled?",multiple-choice,Federal.,Handled by the individual states.,Mandatory for states to have.,Handled by the individual organizations.,,,2,Security Breach Notification Laws. NOT Federal. 48 states have individual laws. Know the one for your state (none in Alabama and South Dakota). They normally require organizations to inform anyone who had their PII compromised. Many states have an encryption clause where lost encrypted data may not require disclosure.,CBK 1: Security and Risk Management
We are in a court of law and we are presenting real evidence. What constitutes real evidence?,multiple-choice,The data on our hard drives.,Something you personally saw or witnessed.,Tangible and physical objects.,"Logs, audit trails and other data from the time of the attack.",,,3,"Real Evidence is tangible and physical objects, in IT Security it is things like hard disks, USB drives and not the data on them.",CBK 1: Security and Risk Management
"We are using the CIA triad to, at a high level, explain IT security to our board of directors. Which of these are the 3 legs of the CIA triad?",multiple-choice,"Confidentiality, Integrity and Accountability.","Confidentiality, Identity and Availability.","Integrity, availability and confidentiality.","Identity, accountability and confidentiality.",,,3,"The CIA (Confidentiality, Integrity, Availability) Triad: Confidentiality - We keep our data and secrets secret. Integrity - We ensure the data has not been altered. Availability - We ensure authorized people can access the data they need, when they need to.",CBK 1: Security and Risk Management
What was the intent of the US Electronic Communications Privacy Act of 1986 (ECPA)?,multiple-choice,To allow search and seizure without immediate disclosure.,To protect electronic communication against warrantless wiretapping.,To protect electronic communication by mandating service providers to use strong encryption.,To allow law enforcement to use wiretaps without a warrant or oversight.,,,2,"Electronic Communications Privacy Act (ECPA) was designed for protection of electronic communications against warrantless wiretapping, but it was very weakened by the Patriot Act.",CBK 1: Security and Risk Management
Our organization is using least privilege in our user access management. How are our users assigned privileges?,multiple-choice,The same privileges as the rest of the group has.,"More privileges than they need for their day-to-day job, so they can perform certain tasks in an emergency.",Exactly the minimum feasible access for the user to perform their job.,Privileges at the on the data owners discretion.,,,3,"Least Privilege also called ""Minimum necessary access"", we give our users and systems exactly the access they need, no more, no less.",CBK 1: Security and Risk Management
Which is NOT one of the (ISC)² ethics canons?,multiple-choice,"Protect society, the common good, necessary public trust and confidence, and the infrastructure.","Act honorably, honestly, justly, responsibly, and legally.",Provide diligent and competent service to principles.,Think about the social consequences of the program you are writing or the system you are designing.,,,4,"ISC2 Code of Ethics Canons: Protect society, the common good, necessary public trust and confidence, and the infrastructure. Act honorably, honestly, justly, responsibly, and legally. Provide diligent and competent service to principles. Advance and protect the profession.",CBK 1: Security and Risk Management
"If we are wanting to implement governance standard and control frameworks focused on internal risk analysis, which of these could we implement?",multiple-choice,COBIT.,ITIL.,COSO.,FRAP,,,4,"FRAP (Facilitated Risk Analysis Process) analyses one business unit, application or system at a time in a roundtable brainstorm with internal employees. Impact analyzed, Threats and Risks Prioritized.",CBK 1: Security and Risk Management
"In our organization we have a lot of policies, procedures, standards, and guidelines we use to make our decisions. Which of them is non-mandatory?",multiple-choice,Policies.,Procedures.,Standards.,Guidelines.,,,4,"Guidelines – non-Mandatory. Recommendations, discretionary – Suggestions on how you would to do it.",CBK 1: Security and Risk Management
